Lat,Lon,Elat,Elon,Length,Year,Month,Day,Hour,Minute,Public,Public2,Car,Bike,Foot,Car2Go,Enjoy,Car2GoFreeCars,EnjoyFreeCars
45.452595,9.198915,45.474282,9.195515,2.425902,2020,06,30,11,30,20,17,0,16,39,9,14,17,936,789
45.453560,9.185017,45.475113,9.177901,2.459880,2020,06,30,11,30,20,35,0,20,41,14,13,18,936,785
45.474503,9.190663,45.455439,9.226127,3.484472,2020,06,30,11,30,20,38,0,23,58,17,19,19,936,785
45.465525,9.188197,45.490171,9.221920,3.797676,2020,06,30,11,30,20,18,0,20,56,15,19,27,936,785
45.450939,9.190087,45.469717,9.214128,2.806198,2020,06,30,11,30,20,30,0,15,46,11,13,13,936,785
45.472178,9.182651,45.467776,9.225066,3.343346,2020,06,30,11,40,23,29,0,22,50,16,17,21,936,784
45.476535,9.172928,45.459903,9.159977,2.107085,2020,06,30,11,40,23,19,0,14,31,10,12,20,936,784
45.467997,9.224033,45.474737,9.182931,3.291319,2020,06,30,11,40,23,38,0,21,53,16,17,16,936,784
45.448961,9.205580,45.469049,9.204257,2.235958,2020,06,30,11,40,23,25,0,13,35,10,14,16,936,784
45.488689,9.222465,45.474175,9.169868,4.406579,2020,06,30,11,40,23,35,0,27,71,19,24,24,936,784
45.484737,9.229762,45.453925,9.152622,6.922324,2020,06,30,11,40,23,42,0,38,108,28,31,38,936,780
45.466737,9.181424,45.490184,9.158129,3.177297,2020,06,30,11,40,23,32,0,17,46,10,10,10,936,780
45.449438,9.218788,45.462610,9.179292,3.410917,2020,06,30,11,40,23,37,0,19,50,15,19,24,936,780
45.488314,9.146944,45.467652,9.220013,6.142576,2020,06,30,11,40,23,49,0,33,100,23,26,29,936,780
45.469158,9.190401,45.483941,9.147152,3.751257,2020,06,30,11,40,23,33,0,23,63,16,19,26,936,774
45.478343,9.211000,45.447061,9.225661,3.661330,2020,06,30,11,50,20,32,0,19,57,13,15,27,936,774
45.457876,9.180419,45.498814,9.218824,5.448378,2020,06,30,11,50,20,35,0,31,86,23,4,6,936,774
45.472304,9.168332,45.458475,9.228008,4.901088,2020,06,30,11,50,20,45,0,29,75,22,27,28,936,774
45.474957,9.161629,45.480937,9.217483,4.405090,2020,06,30,11,50,20,37,0,26,72,20,22,29,936,770
45.478912,9.162057,45.453773,9.175256,2.978674,2020,06,30,11,50,20,35,0,18,47,14,12,24,936,770
45.463065,9.160037,45.447593,9.145944,2.041505,2020,06,30,11,50,20,31,0,14,35,10,14,12,936,770
45.459342,9.165845,45.466061,9.203373,3.020486,2020,06,30,11,50,20,33,0,18,47,14,24,21,936,770
45.477080,9.189029,45.456423,9.206217,2.659312,2020,06,30,11,50,20,28,0,18,44,13,15,14,936,770
45.483924,9.227835,45.500388,9.146207,6.620587,2020,06,30,11,50,20,39,0,33,111,23,25,35,936,770
45.450822,9.208032,45.438276,9.176217,2.847074,2020,06,30,11,50,20,32,0,16,49,10,14,17,936,770
45.450659,9.162817,45.471637,9.168717,2.377485,2020,06,30,12,00,19,31,0,14,37,8,10,10,936,770
45.449308,9.163454,45.461402,9.183097,2.038509,2020,06,30,12,00,19,14,0,14,30,0,9,18,936,767
45.493808,9.146367,45.476701,9.165745,2.428984,2020,06,30,12,00,19,22,0,12,38,0,5,4,936,767
45.492350,9.151809,45.474605,9.178385,2.860982,2020,06,30,12,00,19,29,0,16,42,8,13,10,936,767
45.438636,9.162717,45.472135,9.204202,4.933871,2020,06,30,12,00,19,35,0,28,80,22,26,25,936,767
45.484023,9.205808,45.461175,9.188091,2.891759,2020,06,30,12,00,19,16,0,20,44,17,17,21,936,769
45.473374,9.182011,45.484723,9.216941,3.001401,2020,06,30,12,00,19,16,0,20,54,15,18,20,936,769
45.465764,9.155336,45.441481,9.217749,5.566719,2020,06,30,12,00,19,27,0,30,86,18,19,25,936,769
