Lat,Lon,Elat,Elon,Distance,Year,Month,Day,Hour,Minute,Second,Public,Public2,Bike,Foot,Car,Car2Go,Enjoy,Car2GoFreeCars,EnjoyFreeCars
45.443200,9.156108,45.463656,9.196676,3.896882,2020,03,01,14,43,17,71,74,23,61,14,18,21,0,0
45.474305,9.202452,45.442148,9.184468,3.840788,2020,03,01,14,43,17,42,40,24,59,14,22,16,0,0
45.474100,9.173033,45.501742,9.214583,4.465034,2020,03,01,14,43,17,40,58,25,68,17,27,25,0,0
45.493172,9.229280,45.469627,9.188625,4.110850,2020,03,01,14,43,17,34,34,21,64,21,25,30,0,0
45.481214,9.157257,45.454602,9.187917,3.804146,2020,03,01,14,43,17,105,117,21,60,14,19,30,0,0
45.466478,9.194737,45.486738,9.159478,3.554112,2020,03,01,14,54,33,29,30,21,55,13,19,20,0,0
45.506388,9.187707,45.470804,9.184489,3.964513,2020,03,01,14,54,33,39,48,22,60,14,15,16,0,0
45.482802,9.191094,45.445288,9.229378,5.129519,2020,03,01,14,54,33,57,40,28,80,17,26,25,0,0
45.451546,9.218948,45.494136,9.199719,4.967243,2020,03,01,14,54,33,34,4,24,85,16,23,22,0,0
45.437744,9.164004,45.486354,9.178828,5.527180,2020,03,01,14,54,33,25,50,33,93,19,20,33,0,0
45.442200,9.226256,45.499278,9.176936,7.420723,2020,03,01,14,54,33,7,7,39,123,23,26,25,0,0
45.500238,9.160461,45.478448,9.155037,2.459434,2020,03,01,14,54,33,58,28,19,56,10,11,14,0,0
45.448953,9.169168,45.493247,9.192670,5.254915,2020,03,01,14,54,33,29,29,36,85,21,27,35,0,0
45.447119,9.161224,45.489256,9.161024,4.685221,2020,03,01,14,54,33,81,81,29,83,14,18,28,0,0
45.485457,9.201883,45.502391,9.162299,3.614431,2020,03,01,14,54,33,10,45,19,55,11,11,18,0,0
45.457682,9.181256,45.445324,9.149808,2.811614,2020,03,01,14,54,33,42,32,19,43,10,14,22,0,0
45.492368,9.220104,45.485230,9.180606,3.179494,2020,03,01,14,54,33,31,41,21,56,13,17,20,0,0
45.477757,9.181195,45.505351,9.205809,3.618629,2020,03,01,14,54,33,70,71,21,62,12,18,27,0,0
45.452913,9.226845,45.476834,9.229627,2.668599,2020,03,01,14,54,33,46,24,15,44,8,10,18,0,0
45.490774,9.170283,45.489988,9.212295,3.275880,2020,03,01,14,54,33,64,75,23,64,13,27,15,0,0
45.472724,9.185118,45.456436,9.210783,2.699193,2020,03,01,14,54,33,39,20,22,44,16,19,20,0,0
45.464878,9.212645,45.488634,9.207758,2.668759,2020,03,01,14,54,33,281,281,24,46,10,14,13,0,0
45.461814,9.162848,45.454268,9.222613,4.736097,2020,03,01,14,54,33,46,55,26,75,14,23,22,0,0
45.455598,9.214975,45.493399,9.159278,6.043543,2020,03,01,14,54,33,63,74,31,93,20,24,24,0,0
45.452752,9.213899,45.488283,9.214460,3.950919,2020,03,01,14,54,33,33,30,18,60,12,17,23,0,0
45.470427,9.164240,45.456802,9.205099,3.528166,2020,03,01,15,04,39,20,27,22,57,13,15,19,0,0
45.451471,9.191012,45.460088,9.158367,2.720452,2020,03,01,15,04,39,14,49,13,40,6,17,9,0,0
45.458735,9.184467,45.503019,9.189649,4.940464,2020,03,01,15,04,39,36,36,31,76,17,21,27,0,0
45.481988,9.196593,45.466409,9.221492,2.601823,2020,03,01,15,04,39,50,16,15,38,13,12,13,0,0
45.464944,9.184040,45.465154,9.222679,3.013243,2020,03,01,15,04,39,19,29,21,44,17,21,23,0,0
45.469563,9.202224,45.457109,9.173330,2.644776,2020,03,01,15,04,39,25,22,19,40,12,15,17,0,0
45.465568,9.190234,45.453870,9.225052,3.010884,2020,03,01,15,04,39,28,33,19,45,16,20,21,0,0
45.455095,9.179942,45.502418,9.152947,5.667116,2020,03,01,15,04,39,30,68,34,94,19,23,36,0,0
45.480177,9.164341,45.457512,9.169133,2.547663,2020,03,01,15,04,39,27,20,14,40,8,11,13,0,0
45.474734,9.174984,45.467259,9.220469,3.642730,2020,03,01,15,04,39,70,85,24,57,14,22,26,0,0
45.456416,9.203516,45.489717,9.188565,3.881898,2020,03,01,15,04,39,29,29,23,61,14,17,24,0,0
45.464734,9.170812,45.448408,9.216567,4.003777,2020,03,01,15,04,39,96,96,23,63,14,18,24,0,0
45.496165,9.162438,45.478974,9.148207,2.210039,2020,03,01,15,04,39,10,19,11,34,7,12,12,0,0
45.493788,9.204482,45.500760,9.228940,2.057801,2020,03,01,15,04,39,118,114,12,35,8,14,12,0,0
45.444268,9.178913,45.467105,9.168385,2.668704,2020,03,01,15,04,39,44,36,16,45,11,17,14,0,0
45.504523,9.196178,45.451452,9.159327,6.563200,2020,03,01,15,04,39,34,34,37,104,22,22,26,0,0
45.500831,9.185929,45.481036,9.197079,2.366375,2020,03,01,15,04,39,8,8,14,36,9,11,0,0,0
45.505786,9.202743,45.456193,9.182297,5.739984,2020,03,01,15,04,39,42,39,35,88,21,24,0,0,0
45.479784,9.190678,45.467173,9.154285,3.165132,2020,03,01,15,04,39,30,27,19,51,11,14,25,0,0
45.455754,9.194917,45.463879,9.162924,2.653631,2020,03,01,15,04,39,42,35,16,42,9,19,23,0,0
45.458008,9.153240,45.474818,9.195276,3.773416,2020,03,01,15,14,39,41,38,25,60,14,16,25,0,0
