Lat,Lon,Elat,Elon,Distance,Year,Month,Day,Hour,Minute,Public,Public2,Car,Bike,Foot,Car2Go,Enjoy,Car2GoFreeCars,EnjoyFreeCars
45.494138,9.152177,45.456781,9.145775,4.183593,2020,04,12,00,00,29,50,0,22,69,0,4,12,993,650
45.458244,9.157236,45.467280,9.224289,5.324796,2020,04,12,00,00,29,51,0,28,81,0,4,35,993,650
45.498370,9.227003,45.450206,9.196653,5.854854,2020,04,12,00,00,29,40,0,30,91,0,3,23,994,650
45.461097,9.229650,45.500411,9.168642,6.459865,2020,04,12,00,00,29,48,0,35,105,19,3,19,993,650
45.440610,9.174068,45.447394,9.200064,2.163722,2020,04,12,00,00,29,22,0,12,36,9,10,11,993,650
45.457465,9.162674,45.492564,9.186777,4.331545,2020,04,12,00,00,29,43,0,25,67,15,18,25,992,650
45.453148,9.153829,45.485794,9.170671,3.860158,2020,04,12,00,00,29,42,0,21,60,12,16,21,993,650
45.464762,9.173813,45.465472,9.220683,3.655872,2020,04,12,00,00,29,33,0,23,54,12,13,25,993,651
45.468406,9.169984,45.454716,9.193170,2.363611,2020,04,12,00,00,29,29,0,15,38,9,14,22,993,651
45.461561,9.200720,45.483845,9.157906,4.157321,2020,04,12,00,00,29,45,0,27,67,17,17,31,992,651
45.466838,9.162888,45.488708,9.166100,2.444576,2020,04,12,00,09,16,35,0,15,41,10,11,19,991,650
45.467273,9.183131,45.495850,9.162654,3.555937,2020,04,12,00,09,16,36,0,19,56,14,13,32,991,650
45.460638,9.162450,45.495584,9.199285,4.831708,2020,04,12,00,09,16,44,0,31,77,18,18,26,991,650
45.448745,9.149962,45.463565,9.181583,2.966108,2020,04,12,00,09,16,24,0,20,48,13,15,25,991,650
45.494657,9.214441,45.462150,9.166469,5.201185,2020,04,12,00,09,16,33,0,31,82,17,17,19,992,651
45.480428,9.150850,45.476738,9.191302,3.180353,2020,04,12,00,09,16,34,0,20,52,11,11,21,992,651
45.502588,9.220882,45.472462,9.159736,5.825719,2020,04,12,00,09,16,32,0,30,92,18,24,24,992,651
45.492282,9.205834,45.455544,9.182043,4.486338,2020,04,12,00,09,16,35,0,30,69,20,26,22,992,651
45.449092,9.162474,45.476963,9.205384,4.560870,2020,04,12,00,09,16,44,0,28,68,17,17,32,992,649
45.495005,9.199321,45.454261,9.185140,4.663284,2020,04,12,00,09,16,48,0,31,70,18,22,24,992,649
45.453923,9.196548,45.477884,9.165445,3.602888,2020,04,12,00,19,17,38,0,21,54,14,22,17,992,649
45.462880,9.162901,45.487130,9.181180,3.049826,2020,04,12,00,19,17,26,0,20,47,13,17,23,992,649
45.472562,9.168765,45.485457,9.200097,2.832436,2020,04,12,00,19,17,28,0,19,46,13,14,29,992,651
45.465355,9.202083,45.441135,9.216590,2.921071,2020,04,12,00,19,17,26,0,18,49,12,12,21,992,651
45.458068,9.180894,45.461318,9.213848,2.595349,2020,04,12,00,19,17,29,0,13,40,8,12,22,992,651
45.453498,9.206521,45.439023,9.184075,2.378296,2020,04,12,00,19,17,32,0,14,42,10,14,15,992,651
45.477329,9.167361,45.475926,9.194051,2.086756,2020,04,12,00,19,17,21,0,13,32,8,11,19,993,651
45.481152,9.228651,45.476375,9.168604,4.711491,2020,04,12,00,19,17,32,0,28,75,17,21,25,993,651
45.439162,9.198929,45.467307,9.186347,3.279701,2020,04,12,00,19,17,31,0,20,50,17,22,25,993,651
45.484996,9.163301,45.459883,9.194539,3.705339,2020,04,12,00,19,17,37,0,24,62,14,19,16,991,651
45.460396,9.164598,45.469319,9.223034,4.663736,2020,04,12,00,29,16,44,0,27,73,17,19,23,993,652
45.467287,9.201655,45.502251,9.153197,5.420653,2020,04,12,00,29,16,53,0,29,90,16,18,7,993,652
45.480170,9.177392,45.461589,9.217281,3.733957,2020,04,12,00,29,16,34,0,22,63,0,4,11,991,652
45.461391,9.185429,45.441792,9.227063,3.910893,2020,04,12,00,29,16,27,0,22,59,15,21,19,993,652
45.450995,9.203746,45.499701,9.186106,5.587514,2020,04,12,00,29,16,35,0,30,86,18,19,25,993,652
45.462372,9.164512,45.445736,9.208733,3.913824,2020,04,12,00,29,16,57,0,22,65,11,15,18,992,651
45.477891,9.158985,45.461910,9.214539,4.682132,2020,04,12,00,29,16,43,0,28,72,16,29,25,993,651
45.474857,9.182141,45.466914,9.213913,2.630110,2020,04,12,00,29,16,44,0,18,43,10,13,17,993,651
45.469658,9.194079,45.504132,9.208216,3.988415,2020,04,12,00,29,16,38,0,23,63,13,16,29,993,651
45.450823,9.147180,45.478724,9.206285,5.555952,2020,04,12,00,29,16,45,0,31,84,19,19,25,993,649
45.466892,9.171429,45.461489,9.205087,2.692637,2020,04,12,00,39,16,29,0,19,41,11,18,23,992,649
45.458092,9.185801,45.487535,9.165029,3.652485,2020,04,12,00,39,16,36,0,23,61,14,24,25,992,649
45.462844,9.165874,45.478186,9.202405,3.320225,2020,04,12,00,39,16,41,0,23,54,12,15,18,991,649
45.481537,9.187151,45.445500,9.195872,4.064246,2020,04,12,00,39,16,38,0,24,62,15,21,23,991,649
45.452093,9.191386,45.462304,9.217130,2.306622,2020,04,12,00,39,16,30,0,13,39,10,12,14,991,649
45.467111,9.191904,45.503057,9.196823,4.015173,2020,04,12,00,39,16,37,0,26,63,15,19,31,991,649
45.467251,9.166201,45.488719,9.172758,2.441146,2020,04,12,00,39,16,29,0,15,39,9,10,24,992,649
45.457693,9.185245,45.472597,9.214721,2.833684,2020,04,12,00,39,16,24,0,18,47,11,19,22,993,649
45.466188,9.193329,45.450034,9.163532,2.937139,2020,04,12,00,39,16,29,0,21,47,19,23,22,993,649
45.464520,9.222666,45.468959,9.159137,4.978507,2020,04,12,00,39,16,46,0,28,73,18,21,25,993,649
45.458171,9.160127,45.475189,9.201787,3.759547,2020,04,12,00,49,16,43,0,26,60,13,17,24,993,649
45.447021,9.151669,45.460361,9.183480,2.890743,2020,04,12,00,49,16,28,0,17,44,12,19,14,992,651
45.501423,9.192545,45.453849,9.176720,5.431714,2020,04,12,00,49,16,59,0,32,86,19,22,24,993,651
45.451708,9.208750,45.451141,9.168696,3.124889,2020,04,12,00,49,16,30,0,17,46,10,14,16,993,651
45.438259,9.181305,45.456487,9.163442,2.459558,2020,04,12,00,49,16,45,0,16,45,9,13,13,993,651
45.484377,9.192784,45.481460,9.226710,2.664598,2020,04,12,00,49,16,16,0,17,44,12,16,21,993,650
45.442917,9.174385,45.476300,9.211228,4.694044,2020,04,12,00,49,16,45,0,25,74,12,14,17,993,650
45.502498,9.193171,45.448687,9.179357,6.079389,2020,04,12,00,49,16,66,0,36,94,21,24,26,993,650
45.451281,9.225060,45.505190,9.215638,6.038962,2020,04,12,00,49,16,65,0,32,92,19,25,22,993,650
45.486109,9.155055,45.449089,9.181618,4.608025,2020,04,12,00,49,16,49,0,25,73,12,17,14,993,650
45.459015,9.173439,45.479743,9.174948,2.307739,2020,04,12,00,59,22,23,0,16,38,9,12,16,994,650
45.474023,9.179997,45.438502,9.178871,3.950541,2020,04,12,00,59,22,38,0,22,58,13,5,10,994,650
45.495521,9.216053,45.500975,9.150339,5.157279,2020,04,12,00,59,22,52,0,29,89,14,2,13,993,650
45.491600,9.204104,45.443125,9.188883,5.519054,2020,04,12,00,59,22,60,0,31,83,18,4,5,993,651
45.498717,9.192475,45.443485,9.165772,6.484589,2020,04,12,00,59,22,56,0,41,107,0,4,4,993,651
45.465605,9.169371,45.452304,9.206108,3.224325,2020,04,12,00,59,22,29,0,20,49,10,15,19,992,651
45.464250,9.179513,45.478848,9.200307,2.294222,2020,04,12,00,59,22,31,0,18,38,9,16,30,993,651
45.460965,9.198825,45.451840,9.160464,3.159285,2020,04,12,00,59,22,37,0,22,50,13,19,23,993,650
45.487856,9.183815,45.466819,9.195586,2.512686,2020,04,12,00,59,22,42,0,19,40,12,17,19,993,650
45.497211,9.174434,45.466724,9.195147,3.754789,2020,04,12,00,59,22,40,0,25,60,14,19,20,993,650
45.465340,9.171412,45.462219,9.200196,2.271355,2020,04,12,07,09,29,27,0,16,33,9,11,20,988,646
45.469932,9.206912,45.479238,9.157832,3.964143,2020,04,12,07,09,29,33,0,24,64,13,18,19,989,646
45.469870,9.147521,45.483741,9.171901,2.447814,2020,04,12,07,09,29,27,0,14,39,9,10,15,989,646
45.457247,9.214433,45.489636,9.163917,5.336978,2020,04,12,07,09,29,43,0,27,83,14,19,15,988,646
45.501906,9.212722,45.485594,9.180285,3.111509,2020,04,12,07,09,29,33,0,18,53,9,10,9,990,646
45.440780,9.200731,45.498611,9.157661,7.254411,2020,04,12,07,09,29,65,0,40,110,24,30,25,990,647
45.443050,9.175058,45.455359,9.195547,2.104158,2020,04,12,07,09,29,28,0,14,37,9,12,16,991,647
45.488060,9.203668,45.445009,9.203512,4.786838,2020,04,12,07,09,29,34,0,28,84,14,15,21,991,647
45.451069,9.192997,45.501961,9.153930,6.426352,2020,04,12,07,09,29,38,0,39,108,20,21,22,991,647
45.449881,9.172312,45.505943,9.199012,6.571903,2020,04,12,07,09,29,33,0,42,104,22,22,24,991,647
45.466446,9.191511,45.445157,9.174277,2.722134,2020,04,12,07,18,17,31,0,20,43,18,23,21,992,647
45.496727,9.148646,45.481914,9.192993,3.829118,2020,04,12,07,18,17,33,0,22,62,11,15,17,992,647
45.460403,9.177783,45.479256,9.196336,2.546994,2020,04,12,07,18,17,29,0,19,40,11,14,26,993,647
45.470319,9.194596,45.448611,9.174785,2.865862,2020,04,12,07,18,17,38,0,24,44,19,23,28,994,644
45.495199,9.194299,45.460385,9.189761,3.887089,2020,04,12,07,18,17,17,0,26,59,17,20,28,993,644
45.451131,9.182136,45.484288,9.150434,4.438806,2020,04,12,07,18,17,39,0,24,71,16,27,28,993,644
45.451362,9.178805,45.444890,9.213656,2.812203,2020,04,12,07,18,17,25,0,16,43,10,16,19,993,644
45.487017,9.227150,45.498860,9.192990,2.970387,2020,04,12,07,18,17,39,0,17,49,9,15,30,992,644
45.490427,9.152334,45.443065,9.194453,6.206443,2020,04,12,07,18,17,47,0,34,96,17,18,26,992,644
45.485926,9.217134,45.454474,9.207745,3.572944,2020,04,12,07,18,17,20,0,17,55,12,16,21,993,644
45.461220,9.175040,45.494323,9.196920,4.056795,2020,04,12,07,28,16,25,0,28,65,16,24,27,994,644
45.476898,9.191762,45.489807,9.217479,2.465666,2020,04,12,07,28,16,24,0,16,42,10,14,17,994,643
45.480035,9.173676,45.448009,9.206079,4.366423,2020,04,12,07,28,16,35,0,27,67,15,19,24,994,643
45.465088,9.182941,45.502112,9.177051,4.142211,2020,04,12,07,28,16,31,0,27,66,0,3,15,992,643
45.446524,9.154291,45.477757,9.185018,4.219288,2020,04,12,07,28,16,26,0,28,68,0,19,9,991,643
45.477113,9.185685,45.493400,9.173703,2.037637,2020,04,12,07,28,16,24,0,13,36,7,9,8,988,640
45.503250,9.154210,45.464799,9.146624,4.316057,2020,04,12,07,28,16,41,0,25,79,10,20,19,989,640
45.500043,9.157710,45.467504,9.188569,4.344775,2020,04,12,07,28,16,31,0,31,81,19,20,23,988,640
45.460692,9.162817,45.441632,9.176460,2.371452,2020,04,12,07,28,16,29,0,15,38,9,10,17,988,640
45.476081,9.147021,45.501314,9.186387,4.157848,2020,04,12,07,28,16,39,0,25,75,10,12,14,988,639
45.481087,9.150548,45.465330,9.195531,3.920607,2020,04,12,07,38,16,29,0,27,62,15,17,24,990,639
45.475246,9.172801,45.480082,9.198967,2.109700,2020,04,12,07,38,16,22,0,14,35,9,12,21,990,639
45.444538,9.220725,45.463414,9.190979,3.128569,2020,04,12,07,38,16,17,0,19,50,12,19,23,989,639
45.452452,9.193910,45.471970,9.203832,2.304017,2020,04,12,07,38,16,21,0,14,35,9,15,13,989,641
45.469961,9.192233,45.503026,9.190147,3.680078,2020,04,12,07,38,16,24,0,23,58,11,14,26,989,641
45.449462,9.187049,45.480662,9.197495,3.563472,2020,04,12,07,38,16,27,0,20,53,10,15,20,991,641
45.478027,9.160790,45.465614,9.200390,3.382155,2020,04,12,07,38,16,31,0,24,53,14,24,25,991,641
45.455179,9.195245,45.465913,9.171996,2.170711,2020,04,12,07,38,16,19,0,15,34,10,16,15,990,642
45.472060,9.166488,45.445534,9.161440,2.975575,2020,04,12,07,38,16,32,0,18,51,10,16,22,993,642
45.461844,9.192840,45.502514,9.184666,4.566757,2020,04,12,07,38,16,30,0,28,70,16,21,19,992,642
45.503602,9.168657,45.478044,9.169032,2.841934,2020,04,12,07,48,16,32,0,18,53,9,16,17,994,642
45.501185,9.147769,45.443456,9.225842,8.846448,2020,04,12,07,48,16,40,0,46,138,26,29,30,993,642
45.477745,9.216370,45.449407,9.195485,3.546939,2020,04,12,07,48,16,34,0,18,59,11,17,16,992,642
