Lat,Lon,Elat,Elon,Distance,Year,Month,Day,Hour,Minute,Public,Public2,Car,Bike,Foot,Car2Go,Enjoy,Car2GoFreeCars,EnjoyFreeCars
45.452020,9.170294,45.463851,9.222974,4.314075,2020,06,06,23,56,01,37,0,23,66,14,16,29,936,809
45.479352,9.181261,45.439200,9.172679,4.514376,2020,06,06,23,56,01,31,0,28,69,19,24,23,936,804
45.476960,9.183041,45.505651,9.167707,3.406692,2020,06,06,23,56,01,36,0,23,59,12,16,26,936,804
45.456865,9.164687,45.487828,9.209704,4.916625,2020,06,06,23,56,01,30,0,30,78,18,17,26,936,804
45.477299,9.198157,45.477821,9.148964,3.835764,2020,06,06,23,56,01,34,0,22,62,16,22,20,936,804
45.450608,9.169969,45.469642,9.171980,2.122186,2020,06,06,23,56,01,18,0,15,37,0,12,24,936,800
45.452405,9.189330,45.478516,9.147445,4.370061,2020,06,06,23,56,01,49,0,22,0,13,5,0,936,800
45.470205,9.201230,45.496596,9.160435,4.327204,2020,06,06,23,56,01,41,0,26,71,0,4,7,936,800
45.465204,9.169264,45.488682,9.164899,2.632598,2020,06,06,23,56,01,34,0,17,47,8,12,15,936,800
45.456202,9.171775,45.487922,9.173481,3.529441,2020,06,06,23,56,01,30,0,23,59,12,17,20,936,800
45.484198,9.155207,45.505827,9.163513,2.490528,2020,06,07,00,06,01,26,0,15,43,7,14,7,936,798
45.491421,9.220805,45.483953,9.171756,3.912541,2020,06,07,00,06,01,39,0,0,0,16,18,18,936,798
45.493948,9.198949,45.501316,9.175445,2.006683,2020,06,07,00,06,01,24,0,13,32,7,15,9,936,798
45.470427,9.204403,45.471281,9.164541,3.109655,2020,06,07,00,06,01,23,0,20,51,13,13,18,936,798
45.463178,9.215373,45.490211,9.174010,4.408492,2020,06,07,00,06,01,41,0,24,78,13,16,14,936,799
45.479833,9.223285,45.464854,9.186172,3.338842,2020,06,07,00,06,01,25,0,20,52,17,21,30,936,799
45.437115,9.198913,45.489280,9.203729,5.812351,2020,06,07,00,06,01,56,0,31,0,19,21,24,936,799
45.459887,9.178620,45.502520,9.172280,4.766044,2020,06,07,00,06,01,42,0,33,80,19,24,23,936,799
45.493312,9.197230,45.449279,9.197239,4.896011,2020,06,07,00,06,01,32,0,26,77,16,20,23,936,789
45.480215,9.154449,45.461331,9.172522,2.528771,2020,06,07,00,06,01,29,0,14,42,8,20,18,936,789
