Lat,Lon,Elat,Elon,Distance,Year,Month,Day,Hour,Minute,Public,Public2,Car,Bike,Foot,Car2Go,Enjoy,Car2GoFreeCars,EnjoyFreeCars
45.456274,9.161148,45.476060,9.181900,2.731068,2020,03,14,23,53,34,26,0,18,42,10,12,15,1527,957
45.476422,9.160575,45.487681,9.208857,3.966724,2020,03,14,23,53,34,34,0,24,64,15,18,18,1525,957
45.470716,9.183620,45.442172,9.219821,4.247931,2020,03,14,23,53,34,26,0,25,62,20,22,21,1527,957
45.477235,9.161344,45.500684,9.188428,3.354845,2020,03,14,23,53,34,34,0,20,54,13,14,13,1526,957
45.470198,9.180817,45.484850,9.227849,4.012466,2020,03,14,23,53,34,26,0,26,65,16,20,22,1527,957
45.479076,9.172174,45.443636,9.204740,4.688096,2020,03,14,23,53,34,50,0,31,74,17,19,26,1527,957
45.452978,9.169977,45.462741,9.220884,4.116071,2020,03,14,23,53,34,38,0,23,65,15,22,22,1525,957
45.451130,9.184505,45.464318,9.227452,3.656449,2020,03,14,23,53,34,43,0,20,58,13,17,18,1525,957
45.465581,9.192115,45.464333,9.146470,3.562206,2020,03,14,23,53,34,21,0,22,53,18,23,21,1527,957
45.456943,9.186315,45.485938,9.177353,3.298806,2020,03,14,23,53,34,33,0,23,52,14,18,24,1529,955
45.458014,9.195350,45.489241,9.218507,3.913520,2020,03,15,00,03,31,29,0,20,63,14,21,30,1531,955
45.470056,9.219611,45.463974,9.177736,3.334680,2020,03,15,00,03,31,34,0,22,52,18,20,24,1533,955
45.475848,9.228396,45.469455,9.186060,3.376676,2020,03,15,00,03,31,31,0,20,54,14,21,24,1530,955
45.464662,9.147359,45.460086,9.189620,3.334804,2020,03,15,00,03,31,26,0,22,53,15,17,21,1533,952
45.442817,9.196816,45.467657,9.191667,2.790994,2020,03,15,00,03,31,47,0,19,44,14,28,28,1531,952
45.493387,9.146576,45.469929,9.196274,4.670572,2020,03,15,00,03,31,49,0,27,74,18,18,24,1533,952
45.468581,9.190432,45.447360,9.228923,3.818302,2020,03,15,00,03,31,35,0,24,58,15,21,16,1533,952
45.478001,9.188719,45.441578,9.207488,4.306276,2020,03,15,00,03,31,35,0,28,73,18,19,28,1531,951
45.480071,9.189229,45.501965,9.175761,2.651088,2020,03,15,00,03,31,31,0,16,47,11,17,25,1532,951
45.460674,9.206713,45.484529,9.196729,2.764306,2020,03,15,00,03,31,28,0,15,44,10,9,11,1531,951
45.457850,9.190833,45.470091,9.162840,2.572545,2020,03,15,00,13,31,26,0,17,42,11,13,20,1531,951
45.465958,9.186641,45.444659,9.204743,2.757153,2020,03,15,00,13,31,25,0,21,46,17,19,23,1530,951
45.461299,9.204846,45.501373,9.169010,5.259216,2020,03,15,00,13,31,54,0,29,87,17,21,19,1528,949
45.498390,9.196875,45.476877,9.181584,2.672547,2020,03,15,00,13,31,40,0,18,45,12,19,17,1528,949
45.474899,9.223227,45.491616,9.177607,4.012846,2020,03,15,00,13,31,33,0,21,65,14,15,20,1528,949
45.457137,9.182691,45.506131,9.224859,6.362663,2020,03,15,00,13,31,41,0,32,95,17,24,19,1528,949
45.480995,9.201549,45.440668,9.167410,5.214814,2020,03,15,00,13,31,34,0,32,83,22,23,28,1528,950
45.482177,9.173088,45.492438,9.217621,3.654089,2020,03,15,00,13,31,45,0,23,60,17,18,18,1529,950
45.459327,9.166678,45.494333,9.171811,3.912822,2020,03,15,00,13,31,44,0,28,75,13,23,23,1527,950
