Lat,Lon,Elat,Elon,Distance,Year,Month,Day,Hour,Minute,Public,Public2,Car,Bike,Foot,Car2Go,Enjoy,Car2GoFreeCars,EnjoyFreeCars
45.474531,9.161845,45.463135,9.192296,2.691416,2020,05,09,23,59,23,27,0,19,41,14,15,16,936,747
45.493048,9.180825,45.452626,9.202867,4.811893,2020,05,09,23,59,23,29,0,26,75,14,20,21,936,747
45.479331,9.194535,45.463853,9.162898,3.007838,2020,05,09,23,59,23,36,0,20,49,0,2,5,936,747
45.475878,9.160972,45.450816,9.184518,3.337221,2020,05,09,23,59,23,39,0,19,54,11,14,13,936,747
45.463940,9.148983,45.452707,9.172544,2.221846,2020,05,09,23,59,23,29,0,14,37,11,9,26,936,747
45.469752,9.214363,45.467153,9.183778,2.402385,2020,05,09,23,59,23,27,0,14,38,10,12,17,936,747
45.440432,9.175864,45.479387,9.198459,4.676128,2020,05,09,23,59,23,32,0,26,70,14,17,24,936,744
45.457288,9.203879,45.479759,9.189368,2.742821,2020,05,09,23,59,23,28,0,16,44,10,10,18,936,744
45.481544,9.205282,45.474708,9.161995,3.459367,2020,05,09,23,59,23,37,0,20,56,10,13,15,936,744
45.478696,9.205630,45.462292,9.161977,3.861715,2020,05,09,23,59,23,32,0,25,63,17,23,18,936,744
45.496051,9.210463,45.458455,9.161379,5.667410,2020,05,10,00,09,17,43,0,33,87,17,18,18,936,746
45.446618,9.170238,45.480691,9.174151,3.800832,2020,05,10,00,09,17,37,0,26,64,16,25,21,936,746
45.440117,9.165812,45.466402,9.202773,4.105218,2020,05,10,00,09,17,35,0,23,65,13,15,23,936,746
45.481936,9.177729,45.462326,9.169176,2.280135,2020,05,10,00,09,17,30,0,15,39,10,12,18,936,746
45.470236,9.206759,45.481882,9.182915,2.265578,2020,05,10,00,09,17,27,0,13,35,8,12,14,936,746
45.477928,9.187812,45.453023,9.201572,2.969802,2020,05,10,00,09,17,23,0,18,46,9,12,24,936,746
45.488112,9.200095,45.473516,9.178221,2.354133,2020,05,10,00,09,17,21,0,16,38,7,15,14,936,746
45.499536,9.179553,45.469688,9.197720,3.608323,2020,05,10,00,09,17,28,0,24,58,15,21,19,936,746
45.446305,9.229239,45.457634,9.201980,2.471341,2020,05,10,00,09,17,27,0,17,45,8,11,17,936,746
45.485968,9.189579,45.476576,9.161326,2.437617,2020,05,10,00,09,17,31,0,16,40,11,13,17,936,745
45.452464,9.191529,45.497163,9.187054,4.982295,2020,05,10,00,19,17,29,0,31,78,16,19,20,936,745
45.463457,9.178596,45.454529,9.215797,3.066455,2020,05,10,00,19,17,27,0,20,50,12,12,28,936,745
45.464531,9.169949,45.454983,9.221539,4.161183,2020,05,10,00,19,17,41,0,25,64,15,21,21,936,745
45.457521,9.179505,45.442417,9.158612,2.340168,2020,05,10,00,19,17,24,0,17,39,0,13,18,936,753
45.470182,9.195866,45.461699,9.173150,2.006882,2020,05,10,00,19,17,20,0,16,33,10,14,26,936,753
45.459139,9.169430,45.495565,9.169499,4.050195,2020,05,10,00,19,17,48,0,29,75,15,21,19,936,753
45.450869,9.170453,45.468593,9.225030,4.690521,2020,05,10,00,19,17,43,0,29,72,16,20,21,936,753
45.472632,9.175459,45.454327,9.198416,2.710659,2020,05,10,00,19,17,38,0,19,40,12,17,32,936,753
45.495727,9.165673,45.452748,9.218102,6.288695,2020,05,10,00,19,17,44,0,32,98,18,33,20,936,753
45.475192,9.147569,45.482760,9.226117,6.181374,2020,05,10,00,19,17,52,0,37,100,20,20,22,936,758
45.455888,9.169664,45.474760,9.174504,2.132044,2020,05,10,00,43,17,28,0,16,35,8,10,10,936,758
45.464703,9.201329,45.466475,9.161086,3.144385,2020,05,10,00,43,17,27,0,20,46,11,14,27,936,758
45.446589,9.147153,45.453370,9.206717,4.706951,2020,05,10,00,43,17,45,0,27,74,14,31,20,936,758
45.438784,9.200104,45.468205,9.195890,3.287779,2020,05,10,00,43,17,31,0,19,50,12,13,18,936,758
45.469169,9.213667,45.476107,9.180868,2.671211,2020,05,10,00,43,17,28,0,17,42,10,9,14,936,758
45.485175,9.181895,45.466625,9.202916,2.634451,2020,05,10,00,43,17,35,0,16,42,8,14,10,936,758
45.445253,9.184842,45.470296,9.192039,2.840532,2020,05,10,00,43,17,38,0,18,42,10,16,17,936,758
45.445281,9.156950,45.481319,9.195414,5.005401,2020,05,10,00,43,17,47,0,33,79,15,23,19,936,754
45.440012,9.147862,45.499361,9.149599,6.600380,2020,05,10,00,43,17,63,0,37,112,17,19,28,936,754
45.455099,9.202460,45.492180,9.216870,4.273367,2020,05,10,00,43,17,35,0,23,65,13,14,21,936,754
45.491257,9.226623,45.485122,9.185680,3.263599,2020,05,10,00,53,23,42,0,22,55,14,17,16,936,754
45.446761,9.203392,45.461988,9.188662,2.046092,2020,05,10,00,53,23,20,0,12,31,7,14,9,936,751
45.448077,9.220915,45.489227,9.183597,5.422414,2020,05,10,00,53,23,62,0,30,87,16,19,20,936,751
45.468475,9.215836,45.454944,9.153072,5.120765,2020,05,10,00,53,23,39,0,28,78,16,20,23,936,751
45.453796,9.153983,45.443021,9.174796,2.017719,2020,05,10,00,53,23,13,0,12,35,5,14,10,936,751
45.456175,9.185207,45.489242,9.206405,4.031135,2020,05,10,00,53,23,43,0,32,63,13,20,25,936,751
45.439306,9.148325,45.477074,9.169715,4.518634,2020,05,10,00,53,23,58,0,27,74,14,15,14,936,753
45.445625,9.155494,45.441200,9.186110,2.438569,2020,05,10,00,53,23,29,0,15,40,7,9,10,936,753
45.459368,9.177676,45.438411,9.188301,2.473204,2020,05,10,00,53,23,33,0,16,41,0,4,10,936,753
45.472623,9.209186,45.488879,9.228294,2.342255,2020,05,10,00,53,23,31,0,13,41,0,15,14,936,753
45.467052,9.200501,45.459995,9.163569,2.985090,2020,05,10,07,03,26,26,0,19,47,11,17,21,936,760
45.457802,9.180858,45.461833,9.148149,2.590031,2020,05,10,07,03,26,38,0,16,41,12,16,20,936,760
45.464083,9.187475,45.497123,9.214366,4.229794,2020,05,10,07,03,26,25,0,26,63,17,19,20,936,763
45.460592,9.187024,45.439902,9.161425,3.046231,2020,05,10,07,03,26,37,0,21,50,11,14,19,936,763
45.470906,9.206259,45.462235,9.174677,2.644760,2020,05,10,07,03,26,27,0,18,42,10,13,12,936,763
45.460671,9.172360,45.502157,9.192424,4.870799,2020,05,10,07,03,26,29,0,31,76,17,19,20,936,763
45.467703,9.195014,45.441987,9.210506,3.104178,2020,05,10,07,03,26,28,0,22,55,13,14,23,936,764
45.467437,9.175437,45.439908,9.147684,3.749021,2020,05,10,07,03,26,30,0,22,62,13,14,25,936,764
45.465263,9.191619,45.452951,9.153411,3.279270,2020,05,10,07,03,26,24,0,22,49,18,20,21,936,764
45.457208,9.168095,45.491814,9.175892,3.895554,2020,05,10,07,03,26,29,0,26,61,15,22,22,936,764
45.504865,9.146846,45.469253,9.178869,4.680849,2020,05,10,07,13,17,34,0,26,75,14,23,15,936,763
45.442245,9.148018,45.458040,9.170173,2.463917,2020,05,10,07,13,17,27,0,17,39,7,10,18,936,763
45.486896,9.146392,45.466061,9.175057,3.218944,2020,05,10,07,13,17,30,0,17,52,10,16,13,936,763
45.481167,9.149581,45.476528,9.220205,5.530172,2020,05,10,07,13,17,42,0,32,88,18,18,27,936,763
45.471203,9.182082,45.505677,9.194716,3.957638,2020,05,10,07,13,17,28,0,23,63,12,13,19,936,764
45.496445,9.180800,45.446497,9.160925,5.765863,2020,05,10,07,13,17,40,0,34,94,17,17,20,936,764
45.443961,9.164704,45.505260,9.210327,7.688223,2020,05,10,07,13,17,43,0,44,119,23,29,27,936,764
45.466157,9.180898,45.470551,9.147902,2.618924,2020,05,10,07,13,17,20,0,15,39,9,12,19,936,764
45.467514,9.211670,45.451181,9.200721,2.006798,2020,05,10,07,13,17,18,0,11,32,8,11,11,936,761
45.464197,9.206560,45.438497,9.176527,3.695068,2020,05,10,07,13,17,37,0,21,64,10,10,16,936,761
45.480565,9.196651,45.468055,9.155089,3.526482,2020,05,10,07,23,17,35,0,20,55,10,11,16,936,761
45.456048,9.198674,45.451375,9.164599,2.708090,2020,05,10,07,23,17,36,0,19,45,10,12,25,936,761
45.455323,9.201300,45.504934,9.209854,5.556391,2020,05,10,07,23,17,36,0,30,88,17,21,25,936,761
45.476089,9.174913,45.454235,9.221196,4.351002,2020,05,10,07,23,17,43,0,27,67,14,19,22,936,761
45.451835,9.168757,45.459368,9.220180,4.097275,2020,05,10,07,23,17,32,0,25,66,12,17,27,936,761
