Lat,Lon,Elat,Elon,Distance,Year,Month,Day,Hour,Minute,Public,Public2,Car,Bike,Foot,Car2Go,Enjoy,Car2GoFreeCars,EnjoyFreeCars
45.448331,9.218441,45.499522,9.172598,6.721156,2020,04,18,23,53,24,51,0,37,111,21,23,32,991,637
45.455273,9.164213,45.491421,9.161268,4.025835,2020,04,18,23,53,24,44,0,22,67,12,21,17,991,637
45.489703,9.150445,45.476171,9.192392,3.599624,2020,04,18,23,53,24,24,0,20,56,13,19,15,991,637
45.471246,9.199957,45.464300,9.145818,4.291736,2020,04,18,23,53,24,25,0,25,65,16,15,32,990,637
45.454155,9.206109,45.485913,9.221537,3.730455,2020,04,18,23,53,24,25,0,19,62,12,13,15,990,639
45.456080,9.197474,45.505684,9.200301,5.519849,2020,04,18,23,53,24,39,0,30,85,17,23,32,991,639
45.464948,9.192629,45.503608,9.176738,4.473530,2020,04,18,23,53,24,26,0,28,69,19,25,31,991,639
45.473344,9.201067,45.452750,9.146686,4.819604,2020,04,18,23,53,24,38,0,30,74,17,19,30,991,639
45.479989,9.195751,45.459624,9.205510,2.388820,2020,04,18,23,53,24,17,0,14,40,0,4,7,988,639
45.474633,9.198335,45.445402,9.209149,3.357822,2020,04,18,23,53,24,24,0,22,60,0,5,11,988,639
45.477926,9.169992,45.470396,9.198948,2.407935,2020,04,19,00,03,16,30,0,17,39,0,1,4,988,639
45.481776,9.196059,45.484693,9.149603,3.636065,2020,04,19,00,03,16,43,0,19,60,10,16,18,988,639
45.467619,9.179963,45.476453,9.215755,2.958603,2020,04,19,00,03,16,24,0,22,46,11,18,26,988,639
45.471423,9.170141,45.483808,9.221814,4.257531,2020,04,19,00,03,16,33,0,29,73,17,18,19,988,639
45.443124,9.199798,45.477686,9.229647,4.493014,2020,04,19,00,03,16,46,0,25,75,12,23,24,989,639
45.495810,9.179929,45.439757,9.149468,6.669799,2020,04,19,00,03,16,70,0,39,111,18,26,34,990,639
45.486251,9.225963,45.445724,9.205817,4.772181,2020,04,19,00,03,16,37,0,25,76,14,18,17,990,640
45.462314,9.187132,45.459757,9.161308,2.033924,2020,04,19,00,03,16,25,0,15,32,11,14,30,990,640
45.481718,9.182809,45.461574,9.192011,2.351921,2020,04,19,00,03,16,28,0,20,39,14,19,19,990,640
45.479639,9.197638,45.456396,9.190986,2.635920,2020,04,19,00,03,16,15,0,19,43,12,16,23,990,640
