Lat,Lon,Elat,Elon,Distance,Year,Month,Day,Hour,Minute,Public,Public2,Car,Bike,Foot,Car2Go,Enjoy,Car2GoFreeCars,EnjoyFreeCars
45.496491,9.156544,45.462092,9.180394,4.252830,2020,05,02,23,55,23,45,0,24,68,14,41,15,936,644
45.440059,9.150221,45.470386,9.201172,5.211820,2020,05,02,23,55,23,40,0,29,79,15,15,16,936,643
45.492252,9.189972,45.461701,9.195726,3.426448,2020,05,02,23,55,23,25,0,24,54,16,22,24,936,643
45.466096,9.212271,45.472034,9.176950,2.832244,2020,05,02,23,55,23,31,0,19,46,11,14,11,936,643
45.489635,9.229753,45.466241,9.194851,3.764376,2020,05,02,23,55,23,30,0,19,63,12,14,17,936,643
45.452932,9.186340,45.467741,9.204667,2.180414,2020,05,02,23,55,23,23,0,12,33,7,8,4,936,642
45.462082,9.196291,45.477253,9.165481,2.935502,2020,05,02,23,55,23,28,0,19,45,0,16,6,936,642
45.457064,9.164215,45.488313,9.224487,5.844478,2020,05,02,23,55,23,42,0,32,94,19,20,25,936,642
45.452568,9.179645,45.483429,9.165204,3.611470,2020,05,02,23,55,23,30,0,21,59,12,15,16,936,642
45.466759,9.192386,45.449565,9.166224,2.796116,2020,05,02,23,55,23,27,0,20,42,16,20,17,936,642
45.478135,9.165963,45.457937,9.181820,2.563704,2020,05,03,00,05,39,39,0,15,41,8,10,18,936,642
45.475766,9.189982,45.456411,9.185980,2.174584,2020,05,03,00,05,39,17,0,19,36,13,14,20,936,642
45.459436,9.188889,45.455534,9.160935,2.222956,2020,05,03,00,05,39,24,0,16,35,10,15,16,936,642
45.463305,9.169595,45.454097,9.194922,2.224849,2020,05,03,00,05,39,25,0,15,33,8,12,20,936,640
45.463501,9.206200,45.460977,9.175718,2.393680,2020,05,03,00,05,39,29,0,17,36,10,12,17,936,640
45.454694,9.189749,45.471682,9.198518,2.008867,2020,05,03,00,05,39,32,0,16,37,10,16,21,936,640
45.457361,9.187260,45.472209,9.169537,2.153084,2020,05,03,00,05,39,32,0,15,34,11,13,17,936,640
45.463025,9.195132,45.480518,9.171041,2.704021,2020,05,03,00,05,39,28,0,19,43,10,13,16,936,637
45.458061,9.161673,45.444445,9.222581,4.986293,2020,05,03,00,05,39,60,0,26,76,15,21,22,936,637
45.477457,9.205431,45.492157,9.179708,2.586987,2020,05,03,00,05,39,30,0,14,38,7,13,7,936,637
45.446468,9.197033,45.504576,9.161551,7.028358,2020,05,03,00,15,16,50,0,41,113,22,26,23,936,637
45.495129,9.145808,45.452437,9.164229,4.959439,2020,05,03,00,15,16,42,0,25,77,15,23,19,936,637
45.453577,9.225002,45.473952,9.172691,4.666271,2020,05,03,00,15,16,52,0,27,71,17,19,20,936,637
45.488905,9.215588,45.478392,9.173624,3.473936,2020,05,03,00,15,16,33,0,21,57,12,12,12,936,637
45.438450,9.213536,45.476668,9.193112,4.538189,2020,05,03,00,15,16,40,0,27,73,15,23,19,936,637
45.502347,9.171292,45.473250,9.160490,3.343061,2020,05,03,00,15,16,50,0,19,57,10,19,15,936,637
45.453515,9.202330,45.454179,9.169740,2.543016,2020,05,03,00,15,16,21,0,14,41,8,12,17,936,640
45.502682,9.198838,45.469864,9.164327,4.533506,2020,05,03,00,15,16,52,0,25,73,13,15,19,936,640
45.439010,9.157025,45.466242,9.198663,4.440277,2020,05,03,00,15,16,45,0,28,71,16,20,18,936,640
45.463066,9.216477,45.461709,9.173004,3.393635,2020,05,03,00,15,16,28,0,22,53,14,17,18,936,640
45.451725,9.200481,45.495345,9.215919,4.997227,2020,05,03,00,25,17,37,0,26,76,15,23,23,936,643
45.438975,9.208398,45.476446,9.150390,6.150362,2020,05,03,00,25,17,60,0,34,102,18,25,23,936,643
45.448470,9.172539,45.449468,9.204036,2.459409,2020,05,03,00,25,17,28,0,15,39,9,11,9,936,643
45.467336,9.158118,45.458462,9.205041,3.789990,2020,05,03,00,25,17,27,0,24,59,15,15,33,936,643
45.483214,9.150141,45.474211,9.200548,4.055385,2020,05,03,00,25,17,44,0,25,65,13,16,23,936,644
45.451562,9.172847,45.475860,9.181811,2.790657,2020,05,03,00,25,17,19,0,23,46,11,18,20,936,644
45.464587,9.221721,45.478358,9.202380,2.149153,2020,05,03,00,25,17,22,0,10,33,0,6,6,936,644
