Lat,Lon,Elat,Elon,Distance,Year,Month,Day,Hour,Minute,Public,Public2,Car,Bike,Foot,Car2Go,Enjoy,Car2GoFreeCars,EnjoyFreeCars
45.476930,9.162984,45.474469,9.201243,2.995481,2020,06,20,23,52,00,33,0,21,47,11,14,20,936,804
45.482696,9.205708,45.458491,9.174049,3.652025,2020,06,20,23,52,00,22,0,24,56,16,17,20,936,799
45.473743,9.190556,45.442569,9.221197,4.210176,2020,06,20,23,52,00,24,0,29,69,16,17,22,936,799
45.503903,9.166428,45.438705,9.204247,7.826161,2020,06,20,23,52,00,62,0,46,123,25,30,29,936,799
45.503426,9.211005,45.474030,9.181987,3.974875,2020,06,20,23,52,00,31,0,21,60,10,14,15,936,799
45.456900,9.172663,45.471696,9.188357,2.050465,2020,06,20,23,52,00,20,0,18,35,10,13,11,936,801
45.499873,9.210962,45.464367,9.183097,4.506090,2020,06,20,23,52,00,34,0,27,69,15,17,17,936,801
45.440551,9.221570,45.480519,9.203438,4.663582,2020,06,20,23,52,00,25,0,25,77,15,20,21,936,801
45.478982,9.218428,45.465251,9.182057,3.220787,2020,06,20,23,52,00,24,0,21,0,0,18,8,936,798
45.476246,9.192576,45.472476,9.165657,2.140306,2020,06,20,23,52,00,28,0,15,33,0,5,2,936,798
45.445669,9.190317,45.470383,9.163119,3.471420,2020,06,21,00,02,03,42,0,21,55,12,22,14,936,798
45.487082,9.227627,45.479528,9.187190,3.262322,2020,06,21,00,02,03,31,0,21,52,0,17,20,936,798
45.446531,9.209180,45.469214,9.192567,2.835463,2020,06,21,00,02,03,11,0,19,47,10,2,19,936,798
45.454719,9.229665,45.473300,9.172154,4.937902,2020,06,21,00,02,03,56,0,27,76,20,22,40,936,798
45.486055,9.203512,45.479758,9.174770,2.347499,2020,06,21,00,02,03,24,0,16,38,10,14,13,936,798
45.452590,9.190760,45.504245,9.185269,5.759430,2020,06,21,00,02,03,37,0,34,88,25,29,30,936,798
45.491655,9.166646,45.458276,9.152249,3.877435,2020,06,21,00,02,03,41,0,20,62,12,15,14,936,798
45.469618,9.216035,45.446757,9.215911,2.541923,2020,06,21,00,02,03,24,0,14,42,8,11,13,936,794
45.466702,9.157777,45.459434,9.193564,2.905493,2020,06,21,00,02,03,26,0,22,46,13,17,21,936,794
45.460688,9.200756,45.455589,9.158434,3.349103,2020,06,21,00,02,03,43,0,23,51,13,14,24,936,794
45.454795,9.174895,45.476732,9.168430,2.490722,2020,06,21,00,12,02,24,0,14,41,9,11,15,936,794
45.462970,9.169992,45.478275,9.190836,2.353205,2020,06,21,00,12,02,23,0,21,40,10,17,27,936,790
45.468322,9.174468,45.455411,9.193304,2.053944,2020,06,21,00,12,02,23,0,14,33,10,9,22,936,790
45.477814,9.215889,45.499866,9.157039,5.201491,2020,06,21,00,12,02,37,0,33,84,18,22,26,936,790
45.491437,9.227943,45.497606,9.183574,3.525552,2020,06,21,00,12,02,38,0,19,54,11,13,18,936,790
45.488285,9.184220,45.459503,9.214444,3.974298,2020,06,21,00,12,02,32,0,22,67,13,18,17,936,790
45.490174,9.194676,45.437406,9.195344,5.867483,2020,06,21,00,12,02,39,0,32,91,18,19,19,936,793
45.496450,9.173117,45.437660,9.183392,6.585757,2020,06,21,00,12,02,59,0,40,104,19,26,31,936,793
45.461482,9.152359,45.484948,9.194012,4.165991,2020,06,21,00,12,02,27,0,26,66,15,20,20,936,793
45.451290,9.177138,45.467959,9.217787,3.672240,2020,06,21,00,12,02,37,0,21,57,14,19,21,936,793
45.463895,9.160148,45.457377,9.194521,2.776930,2020,06,21,00,22,01,25,0,15,43,10,13,14,936,793
45.458249,9.175923,45.455824,9.202145,2.062837,2020,06,21,00,22,01,28,0,12,32,6,7,27,936,793
45.474349,9.201068,45.463005,9.165137,3.072626,2020,06,21,00,22,01,25,0,22,48,14,17,18,936,793
45.451550,9.164075,45.453282,9.190718,2.087049,2020,06,21,00,22,01,24,0,14,34,8,16,23,936,797
45.479205,9.162741,45.463349,9.204000,3.668521,2020,06,21,00,22,01,35,0,25,57,14,18,20,936,797
45.453070,9.191715,45.471495,9.188336,2.065546,2020,06,21,00,22,01,29,0,18,33,15,18,16,936,797
45.480174,9.153039,45.463478,9.180629,2.841524,2020,06,21,00,22,01,32,0,18,47,12,17,16,936,797
45.474397,9.167849,45.461705,9.193919,2.474705,2020,06,21,00,22,01,26,0,20,40,13,24,21,936,801
45.447689,9.201506,45.439004,9.147260,4.340632,2020,06,21,00,22,01,36,0,22,66,12,17,19,936,801
45.474149,9.189079,45.442346,9.223168,4.424126,2020,06,21,00,22,01,41,0,29,72,0,1,11,936,801
45.476302,9.227111,45.460134,9.189074,3.468310,2020,06,21,00,32,00,25,0,21,57,0,18,17,936,801
45.467695,9.147644,45.475360,9.201702,4.300375,2020,06,21,00,32,00,44,0,26,69,14,14,4,936,793
45.479887,9.191816,45.457292,9.191892,2.512335,2020,06,21,00,32,00,26,0,20,41,12,13,22,936,793
45.468366,9.170089,45.465595,9.198199,2.213551,2020,06,21,00,32,00,28,0,17,33,10,12,18,936,793
45.471090,9.197320,45.438377,9.209226,3.754014,2020,06,21,00,32,00,36,0,27,66,16,17,26,936,793
45.454033,9.197574,45.441962,9.225210,2.539439,2020,06,21,00,32,00,22,0,16,41,9,12,10,936,794
45.457759,9.163580,45.488036,9.188002,3.867721,2020,06,21,00,32,00,43,0,26,64,15,19,24,936,794
45.469327,9.159184,45.437372,9.173205,3.717560,2020,06,21,00,32,00,32,0,22,60,11,13,22,936,794
45.459650,9.165118,45.468074,9.199484,2.838959,2020,06,21,00,32,00,28,0,19,47,10,17,20,936,794
45.453765,9.190379,45.449040,9.227561,2.947435,2020,06,21,00,32,00,32,0,17,45,10,18,15,936,800
45.451924,9.206509,45.500791,9.158031,6.618819,2020,06,21,00,42,08,67,0,42,114,23,23,30,936,800
45.461638,9.220144,45.488024,9.176673,4.482781,2020,06,21,00,42,08,53,0,25,75,14,18,19,936,800
45.472141,9.201688,45.460951,9.166008,3.047855,2020,06,21,00,42,08,35,0,20,49,12,14,22,936,800
45.487619,9.218110,45.478685,9.181321,3.035128,2020,06,21,00,42,08,27,0,18,50,12,14,16,936,803
45.460929,9.229639,45.475526,9.197344,2.996003,2020,06,21,00,42,08,45,0,20,52,10,13,20,936,803
45.491365,9.207806,45.465754,9.179089,3.622407,2020,06,21,00,42,08,41,0,23,58,14,19,22,936,803
45.481351,9.211067,45.450935,9.200235,3.485832,2020,06,21,00,42,08,19,0,15,51,11,16,18,936,803
45.473171,9.204986,45.465235,9.171599,2.748875,2020,06,21,00,42,08,28,0,18,43,12,15,19,936,795
45.466801,9.190439,45.485498,9.205022,2.369519,2020,06,21,00,42,08,22,0,17,36,9,13,21,936,795
45.460760,9.201049,45.472770,9.164543,3.144381,2020,06,21,00,42,08,33,0,22,51,14,16,17,936,795
45.477074,9.160023,45.460012,9.170150,2.054906,2020,06,21,00,52,01,24,0,12,32,7,12,23,936,795
45.465285,9.192521,45.447659,9.207502,2.281699,2020,06,21,00,52,01,19,0,16,37,12,13,25,936,788
45.456796,9.204679,45.474290,9.175730,2.979908,2020,06,21,00,52,01,45,0,23,50,10,14,21,936,788
45.480192,9.189738,45.471809,9.161844,2.366141,2020,06,21,00,52,01,33,0,15,39,10,13,17,936,788
45.439866,9.161221,45.458148,9.159651,2.036454,2020,06,21,00,52,01,37,0,13,37,8,16,16,936,788
45.469476,9.197666,45.455322,9.160067,3.327838,2020,06,21,00,52,01,39,0,22,51,15,15,23,936,788
45.479033,9.182149,45.505400,9.160621,3.377977,2020,06,21,00,52,01,31,0,20,56,11,17,16,936,788
45.478411,9.193008,45.491495,9.170010,2.308807,2020,06,21,00,52,01,36,0,13,38,7,9,17,936,788
45.462364,9.182378,45.476066,9.164470,2.066652,2020,06,21,00,52,01,35,0,12,32,7,11,13,936,788
45.451221,9.170027,45.468300,9.160562,2.037430,2020,06,21,00,52,01,18,0,14,34,0,3,7,936,781
45.477338,9.171108,45.469955,9.218552,3.789213,2020,06,21,07,02,06,37,0,23,58,0,2,28,936,888
45.459871,9.193509,45.487324,9.152563,4.417036,2020,06,21,07,02,06,42,0,28,69,15,20,32,936,888
45.471068,9.163475,45.496065,9.186897,3.325508,2020,06,21,07,02,06,39,0,21,57,11,18,37,936,888
45.476706,9.201405,45.500722,9.191420,2.781447,2020,06,21,07,02,06,30,0,17,47,9,15,19,936,888
45.468640,9.182004,45.443917,9.167828,2.962959,2020,06,21,07,02,06,14,0,20,49,10,12,13,936,886
45.477973,9.177485,45.458329,9.192997,2.496774,2020,06,21,07,02,06,23,0,19,40,12,16,29,936,886
45.464949,9.198458,45.452362,9.174036,2.363597,2020,06,21,07,02,06,32,0,21,44,11,19,26,936,886
45.438754,9.158551,45.475102,9.203294,5.339625,2020,06,21,07,02,06,41,0,30,85,16,19,20,936,886
45.477619,9.224795,45.468066,9.189923,2.919129,2020,06,21,07,02,06,33,0,17,47,15,17,25,936,888
45.466696,9.168219,45.448747,9.220950,4.571276,2020,06,21,07,02,06,34,0,26,69,15,16,27,936,888
45.447080,9.197587,45.459806,9.160172,3.243257,2020,06,21,07,11,01,31,0,18,50,9,14,22,936,888
45.486943,9.188611,45.500802,9.226268,3.315005,2020,06,21,07,11,01,35,0,17,53,10,11,11,936,888
45.437816,9.155081,45.448972,9.204429,4.044649,2020,06,21,07,11,01,41,0,21,65,10,14,14,936,888
45.477331,9.205517,45.495851,9.181661,2.774646,2020,06,21,07,11,01,20,0,15,43,9,15,19,936,888
45.451241,9.209716,45.459053,9.150125,4.728320,2020,06,21,07,11,01,32,0,24,72,14,17,16,936,888
45.449412,9.148959,45.488789,9.194948,5.659458,2020,06,21,07,11,01,36,0,33,87,19,30,23,936,888
45.494565,9.211999,45.455023,9.204701,4.433326,2020,06,21,07,11,01,40,0,23,69,12,17,21,936,888
45.461374,9.224990,45.500678,9.161684,6.592130,2020,06,21,07,11,01,39,0,35,107,18,23,23,936,888
45.505573,9.158301,45.464106,9.153806,4.623994,2020,06,21,07,11,01,68,0,27,85,14,29,28,936,888
45.443791,9.205192,45.468781,9.154419,4.837603,2020,06,21,07,11,01,40,0,27,78,14,23,20,936,888
45.443444,9.192047,45.457013,9.163492,2.690247,2020,06,21,07,21,01,34,0,16,45,8,17,23,936,886
45.458037,9.148230,45.480804,9.167679,2.950966,2020,06,21,07,21,01,39,0,15,47,9,19,24,936,886
45.484447,9.200598,45.463798,9.175697,3.006810,2020,06,21,07,21,01,21,0,20,49,12,14,18,936,886
45.502302,9.185451,45.450930,9.173523,5.787241,2020,06,21,07,21,01,41,0,33,90,21,33,26,936,886
45.461437,9.209793,45.463859,9.182627,2.135601,2020,06,21,07,21,01,28,0,15,33,12,15,14,936,885
45.471821,9.219471,45.491019,9.166072,4.678336,2020,06,21,07,21,01,36,0,23,72,11,17,23,936,885
45.461945,9.180148,45.450891,9.219755,3.324647,2020,06,21,07,21,01,32,0,21,52,12,16,19,936,885
45.453954,9.159625,45.460036,9.222521,4.951861,2020,06,21,07,21,01,51,0,26,80,13,15,21,936,885
45.467049,9.183249,45.489316,9.182950,2.475968,2020,06,21,07,21,01,15,0,16,37,12,14,12,936,886
45.480831,9.190688,45.457876,9.169611,3.035726,2020,06,21,07,21,01,17,0,18,46,10,13,14,936,886
45.464091,9.158326,45.457892,9.202918,3.545279,2020,06,21,07,31,01,28,0,20,58,0,2,18,936,886
45.442053,9.187473,45.471088,9.183461,3.243518,2020,06,21,07,31,01,31,0,22,50,16,20,18,936,886
45.479638,9.151605,45.469604,9.201848,4.073168,2020,06,21,07,31,01,27,0,28,71,12,15,23,936,887
45.465562,9.193375,45.489904,9.160994,3.701219,2020,06,21,07,31,01,39,0,24,59,14,15,18,936,887
45.468185,9.165714,45.491057,9.176838,2.686935,2020,06,21,07,31,01,30,0,18,42,10,13,29,936,887
45.460745,9.203214,45.443453,9.223462,2.488186,2020,06,21,07,31,01,13,0,13,40,7,12,16,936,887
45.466959,9.184483,45.445906,9.169701,2.609385,2020,06,21,07,31,01,25,0,21,43,13,14,15,936,885
45.464741,9.195660,45.443691,9.154370,3.981176,2020,06,21,07,31,01,36,0,25,64,14,22,23,936,885
45.470969,9.170037,45.499368,9.166692,3.168421,2020,06,21,07,31,01,30,0,22,58,11,16,29,936,885
45.459844,9.179377,45.476868,9.153581,2.762102,2020,06,21,07,31,01,36,0,21,44,10,13,16,936,885
45.451543,9.167606,45.485263,9.158011,3.823237,2020,06,21,07,41,06,46,0,21,64,12,20,28,936,881
45.452163,9.187742,45.462352,9.160326,2.419839,2020,06,21,07,41,06,26,0,13,36,7,10,21,936,881
45.457332,9.201729,45.502193,9.208538,5.016243,2020,06,21,07,41,06,34,0,28,81,14,15,22,936,881
45.470169,9.205730,45.505529,9.151979,5.745732,2020,06,21,07,41,06,33,0,27,91,13,17,36,936,881
45.454484,9.204830,45.493443,9.194390,4.407652,2020,06,21,07,41,06,23,0,24,71,12,17,19,936,883
45.460817,9.175945,45.440145,9.163087,2.507802,2020,06,21,07,41,06,21,0,18,43,11,11,10,936,883
45.462983,9.177425,45.505442,9.163696,4.840792,2020,06,21,07,41,06,29,0,29,82,14,16,24,936,883
