Lat,Lon,Elat,Elon,Distance,Year,Month,Day,Hour,Minute,Public,Public2,Car,Bike,Foot,Car2Go,Enjoy,Car2GoFreeCars,EnjoyFreeCars
45.473632,9.163923,45.453249,9.194537,3.291840,2020,03,21,23,51,40,37,0,19,52,10,23,23,1176,804
45.471814,9.162029,45.484084,9.209159,3.919560,2020,03,21,23,51,40,31,0,24,64,14,26,26,1176,804
45.451277,9.178337,45.504026,9.196966,6.042296,2020,03,21,23,51,40,58,0,38,93,24,24,28,1553,804
45.469290,9.180730,45.487499,9.224694,3.980908,2020,03,21,23,51,40,26,0,24,67,16,27,22,1174,804
45.472785,9.180867,45.488087,9.147043,3.138206,2020,03,21,23,51,40,28,0,20,50,0,11,0,1174,804
45.465424,9.163896,45.482901,9.171267,2.026464,2020,03,21,23,51,40,18,0,13,32,8,19,16,1175,804
45.451808,9.164512,45.480972,9.194148,3.981978,2020,03,21,23,51,40,33,0,27,63,16,52,17,1176,804
45.456934,9.171576,45.478495,9.187828,2.711714,2020,03,21,23,51,40,18,0,22,43,13,29,27,1177,804
45.459368,9.173985,45.457287,9.201255,2.139377,2020,03,21,23,51,40,25,0,12,34,6,25,20,1175,806
45.472675,9.201956,45.503404,9.195898,3.449223,2020,03,21,23,51,40,37,0,23,57,12,14,20,1175,806
45.466040,9.204116,45.478975,9.161554,3.616889,2020,03,22,00,01,30,40,0,21,57,14,19,22,1174,806
45.463211,9.202100,45.460553,9.166581,2.785726,2020,03,22,00,01,30,25,0,18,44,12,15,18,1174,806
45.440781,9.166629,45.484559,9.222321,6.523586,2020,03,22,00,01,30,37,0,35,106,21,29,25,1175,806
45.501131,9.147388,45.500274,9.216978,5.424183,2020,03,22,00,01,30,57,0,30,90,19,21,20,1173,806
45.458146,9.188166,45.488563,9.217055,4.063498,2020,03,22,00,01,30,27,0,21,61,17,28,26,1172,806
45.476300,9.159465,45.444938,9.186455,4.073166,2020,03,22,00,01,30,40,0,23,65,14,33,35,1173,806
45.463221,9.166197,45.497281,9.192148,4.293655,2020,03,22,00,01,30,36,0,27,68,15,24,17,1554,805
45.461278,9.194731,45.479466,9.183373,2.207740,2020,03,22,00,01,30,20,0,16,33,12,17,27,1177,805
45.450573,9.187468,45.460105,9.152851,2.900545,2020,03,22,00,01,30,31,0,15,44,11,16,15,1177,805
45.500231,9.197760,45.475744,9.157043,4.181720,2020,03,22,00,01,30,56,0,25,69,14,16,17,1176,805
45.453526,9.177130,45.452215,9.215410,2.989358,2020,03,22,00,11,30,38,0,16,44,9,23,23,1178,805
45.502201,9.201020,45.468133,9.178408,4.178052,2020,03,22,00,11,30,36,0,25,65,16,17,19,1178,805
45.502719,9.218527,45.477617,9.161518,5.247536,2020,03,22,00,11,30,42,0,27,83,16,24,21,1178,805
45.471933,9.184903,45.456619,9.158320,2.682691,2020,03,22,00,11,30,33,0,17,42,11,18,16,1176,805
45.480334,9.167005,45.443268,9.229291,6.370293,2020,03,22,00,11,30,60,0,38,101,23,26,28,1557,805
45.460073,9.190971,45.489282,9.229712,4.435286,2020,03,22,00,11,30,35,0,23,73,14,22,28,1177,805
45.473464,9.160006,45.487370,9.201800,3.606556,2020,03,22,00,11,30,41,0,23,59,13,31,30,1176,805
45.447905,9.163810,45.473871,9.207121,4.443503,2020,03,22,00,11,30,45,0,28,70,16,38,22,1176,805
45.464135,9.183038,45.470956,9.209651,2.209493,2020,03,22,00,11,30,22,0,17,34,11,20,19,1176,805
45.453045,9.202827,45.474527,9.184049,2.801732,2020,03,22,00,11,30,29,0,20,43,11,15,16,1176,806
45.473163,9.176094,45.497019,9.189988,2.865146,2020,03,22,00,21,31,30,0,20,47,15,29,17,1176,806
45.458355,9.216315,45.440173,9.167169,4.333986,2020,03,22,00,21,31,49,0,23,73,14,17,18,1176,806
