Lat,Lon,Elat,Elon,Distance,Year,Month,Day,Hour,Minute,Public,Public2,Car,Bike,Foot,Car2Go,Enjoy,Car2GoFreeCars,EnjoyFreeCars
45.441098,9.221819,45.462637,9.222043,2.394976,2020,06,13,23,52,01,20,0,13,37,6,10,16,936,817
45.484331,9.228329,45.495557,9.205879,2.149484,2020,06,13,23,52,01,35,0,14,37,8,10,12,936,817
45.494652,9.169090,45.442336,9.166126,5.821584,2020,06,13,23,52,01,39,0,37,105,19,22,21,936,817
45.457962,9.211337,45.472424,9.192178,2.194982,2020,06,13,23,52,01,24,0,13,35,7,8,14,936,817
45.471848,9.161889,45.490149,9.223755,5.234772,2020,06,13,23,52,01,35,0,31,85,19,25,31,936,815
45.468646,9.220014,45.441463,9.198498,3.457098,2020,06,13,23,52,01,40,0,19,59,11,17,16,936,815
45.465885,9.148228,45.497547,9.200190,5.366907,2020,06,13,23,52,01,42,0,30,86,18,23,32,936,815
45.469838,9.182254,45.496658,9.177761,3.002604,2020,06,13,23,52,01,26,0,18,49,11,14,23,936,815
45.449196,9.229239,45.471618,9.182568,4.411768,2020,06,13,23,52,01,40,0,26,68,15,20,20,936,817
45.438649,9.174290,45.503249,9.197691,7.410985,2020,06,13,23,52,01,60,0,44,114,0,9,9,936,817
45.465385,9.163625,45.503822,9.169539,4.298588,2020,06,14,00,02,02,40,0,28,80,0,21,6,936,817
45.476834,9.174773,45.490945,9.227982,4.434791,2020,06,14,00,02,02,46,0,25,72,14,19,27,936,817
45.502313,9.167186,45.467548,9.162509,3.882662,2020,06,14,00,02,02,33,0,23,67,14,17,16,936,817
45.443946,9.226767,45.457664,9.167178,4.891925,2020,06,14,00,02,02,37,0,24,76,15,17,21,936,817
45.463176,9.227250,45.462636,9.175951,4.001010,2020,06,14,00,02,02,42,0,24,62,17,22,21,936,817
45.450385,9.164315,45.479909,9.171443,3.329489,2020,06,14,00,02,02,36,0,17,52,11,29,32,936,817
45.479784,9.186246,45.460322,9.175112,2.331631,2020,06,14,00,02,02,14,0,16,36,13,24,19,936,817
45.470155,9.207781,45.452144,9.177413,3.101535,2020,06,14,00,02,02,27,0,20,49,11,16,13,936,822
45.447840,9.149782,45.455758,9.181059,2.593618,2020,06,14,00,02,02,25,0,18,45,10,24,15,936,822
45.437136,9.211633,45.472981,9.166584,5.313248,2020,06,14,00,02,02,51,0,29,84,16,17,16,936,822
45.498003,9.181039,45.457922,9.174962,4.481703,2020,06,14,00,12,03,31,0,26,70,15,17,21,936,822
45.494291,9.227470,45.482632,9.201135,2.427873,2020,06,14,00,12,03,30,0,13,38,10,13,16,936,824
45.458629,9.154800,45.497489,9.183858,4.878725,2020,06,14,00,12,03,43,0,26,75,15,29,16,936,824
45.487467,9.215551,45.464732,9.169812,4.371214,2020,06,14,00,12,03,29,0,27,70,17,17,22,936,824
45.474489,9.215171,45.494344,9.195706,2.678863,2020,06,14,00,12,03,24,0,14,41,8,19,18,936,824
45.489553,9.224919,45.483386,9.180713,3.513531,2020,06,14,00,12,03,38,0,21,58,12,19,18,936,816
45.491408,9.222610,45.447721,9.190286,5.472529,2020,06,14,00,12,03,47,0,27,80,16,18,23,936,816
45.498603,9.176658,45.506220,9.218391,3.360739,2020,06,14,00,12,03,43,0,24,64,17,21,20,936,816
45.463218,9.161463,45.463980,9.202912,3.233476,2020,06,14,00,12,03,32,0,21,50,12,15,19,936,816
45.459499,9.179702,45.468614,9.201835,2.001569,2020,06,14,00,12,03,19,0,15,31,9,11,11,936,817
45.442480,9.176026,45.465162,9.176494,2.522266,2020,06,14,00,22,01,27,0,17,42,10,11,13,936,817
45.455990,9.169354,45.477858,9.160344,2.530969,2020,06,14,00,22,01,30,0,15,39,8,10,12,936,817
45.459407,9.171494,45.471517,9.198584,2.505160,2020,06,14,00,22,01,39,0,22,46,11,14,12,936,817
45.475467,9.182323,45.451530,9.204671,3.181375,2020,06,14,00,22,01,39,0,23,49,15,17,19,936,820
45.486674,9.178179,45.456671,9.177569,3.336360,2020,06,14,00,22,01,34,0,21,55,13,17,21,936,820
45.486415,9.226527,45.466604,9.182212,4.097534,2020,06,14,00,22,01,33,0,24,67,19,20,30,936,820
45.448664,9.220870,45.470386,9.169544,4.675118,2020,06,14,00,22,01,40,0,26,68,16,17,26,936,820
45.503148,9.200429,45.452120,9.175203,6.004986,2020,06,14,00,22,01,57,0,36,94,21,23,25,936,823
45.495445,9.147481,45.437661,9.176501,6.811860,2020,06,14,00,22,01,58,0,36,109,17,24,24,936,823
45.495092,9.169423,45.449878,9.203541,5.687785,2020,06,14,00,22,01,53,0,33,91,18,4,4,936,823
45.497348,9.177682,45.441169,9.209875,6.732055,2020,06,14,00,32,01,54,0,39,109,0,2,4,936,823
45.475018,9.199758,45.491197,9.173328,2.735225,2020,06,14,00,32,01,36,0,17,48,0,15,18,936,823
45.461789,9.217670,45.486438,9.199222,3.095230,2020,06,14,00,32,01,20,0,16,48,10,14,13,936,823
45.491971,9.205506,45.462524,9.209554,3.289375,2020,06,14,00,32,01,32,0,18,56,11,20,20,936,823
45.447391,9.190669,45.452540,9.226463,2.850134,2020,06,14,00,32,01,39,0,16,45,9,10,22,936,823
45.441662,9.170756,45.494323,9.146462,6.154179,2020,06,14,00,32,01,51,0,31,98,17,24,17,936,823
45.471736,9.164540,45.452205,9.203765,3.751483,2020,06,14,00,32,01,31,0,22,56,12,15,24,936,823
45.471886,9.152919,45.489036,9.192347,3.617287,2020,06,14,00,32,01,44,0,21,59,12,13,27,936,823
45.465344,9.212994,45.449617,9.182255,2.967403,2020,06,14,00,32,01,31,0,16,48,10,12,11,936,823
45.447050,9.150371,45.500322,9.194586,6.853489,2020,06,14,00,32,01,61,0,38,108,23,26,36,936,823
45.441734,9.172035,45.467229,9.193040,3.274152,2020,06,14,00,42,06,36,0,22,52,16,17,17,936,823
45.438325,9.225540,45.481074,9.152170,7.438796,2020,06,14,00,42,06,83,0,38,114,22,23,24,936,823
45.491807,9.165055,45.501519,9.209009,3.591877,2020,06,14,00,42,06,46,0,26,74,13,16,16,936,823
45.439820,9.159522,45.490889,9.225618,7.668778,2020,06,14,00,42,06,65,0,40,122,22,27,30,936,827
45.444754,9.161144,45.502953,9.200983,7.178035,2020,06,14,00,42,06,60,0,41,112,21,22,26,936,827
45.467960,9.225297,45.494974,9.217160,3.069930,2020,06,14,00,42,06,37,0,18,49,11,13,13,936,827
45.474040,9.179111,45.453032,9.169812,2.445848,2020,06,14,00,42,06,15,0,15,39,8,11,16,936,827
45.454679,9.201768,45.481954,9.183792,3.340970,2020,06,14,00,42,06,36,0,19,58,12,14,16,936,823
45.463786,9.201866,45.475861,9.176814,2.370349,2020,06,14,00,42,06,24,0,17,38,10,10,20,936,823
45.455679,9.167424,45.465953,9.196330,2.527243,2020,06,14,00,42,06,29,0,19,38,12,14,14,936,823
45.487986,9.223798,45.470738,9.167497,4.790033,2020,06,14,00,52,01,52,0,29,78,18,21,21,936,818
45.459602,9.217931,45.475044,9.182781,3.234336,2020,06,14,00,52,01,33,0,22,55,13,20,14,936,818
45.446088,9.181898,45.468472,9.187430,2.525988,2020,06,14,00,52,01,27,0,17,42,14,17,26,936,818
45.477999,9.177962,45.503466,9.200839,3.346353,2020,06,14,00,52,01,39,0,19,53,11,20,13,936,818
45.453928,9.195745,45.502451,9.187568,5.432786,2020,06,14,00,52,01,44,0,32,84,20,24,22,936,814
45.479625,9.169115,45.480164,9.225470,4.393936,2020,06,14,00,52,01,40,0,26,70,14,14,18,936,814
45.472949,9.184426,45.469725,9.230409,3.603330,2020,06,14,00,52,01,42,0,22,54,12,21,17,936,814
45.479449,9.184397,45.505915,9.167490,3.224334,2020,06,14,00,52,01,35,0,20,54,14,15,17,936,814
