Lat,Lon,Elat,Elon,Distance,Year,Month,Day,Hour,Minute,Public,Public2,Car,Bike,Foot,Car2Go,Enjoy,Car2GoFreeCars,EnjoyFreeCars
45.491478,9.192956,45.460791,9.150337,4.762741,2020,03,07,23,58,00,0,0,26,75,16,20,20,0,0
45.442527,9.183045,45.476456,9.154207,4.392091,2020,03,07,23,58,00,0,0,27,0,15,20,16,0,0
45.452318,9.190277,45.449911,9.163197,2.129167,2020,03,07,23,58,00,0,0,14,30,8,15,11,0,0
45.473813,9.149610,45.469594,9.226227,5.992444,2020,03,07,23,58,00,0,0,35,95,21,20,25,0,0
45.460971,9.159938,45.493662,9.195862,4.588800,2020,03,07,23,58,00,0,0,27,75,17,25,19,0,0
45.470793,9.145675,45.446850,9.188170,4.251049,2020,03,07,23,58,00,0,0,23,65,16,18,16,0,0
45.476511,9.225641,45.455548,9.208673,2.680250,2020,03,07,23,58,00,0,0,15,43,8,11,11,0,0
45.445052,9.229151,45.496067,9.228798,5.672403,2020,03,07,23,58,00,0,0,0,0,14,15,14,0,0
45.444865,9.228058,45.504347,9.165367,8.223997,2020,03,07,23,58,00,0,0,43,133,24,28,28,0,0
45.443265,9.194710,45.457453,9.230383,3.198664,2020,03,07,23,58,00,0,0,17,52,8,11,22,0,0
45.460907,9.196384,45.490041,9.169778,3.846670,2020,03,08,00,08,02,0,0,22,59,11,22,12,0,0
45.443841,9.200707,45.472032,9.200584,3.134560,2020,03,08,00,08,02,0,0,16,49,12,19,13,0,0
45.505271,9.218534,45.463991,9.177190,5.608458,2020,03,08,00,08,02,0,0,34,0,23,32,29,0,0
45.441382,9.165049,45.474634,9.168473,3.706907,2020,03,08,00,08,02,0,0,24,0,11,17,18,0,0
45.487313,9.224966,45.479137,9.165843,4.697851,2020,03,08,00,08,02,0,0,27,73,17,22,29,0,0
45.495976,9.184291,45.479596,9.168906,2.180672,2020,03,08,00,08,02,0,0,12,35,8,7,11,0,0
45.493826,9.183082,45.455194,9.188467,4.315947,2020,03,08,00,08,02,0,0,27,63,16,16,22,0,0
45.494826,9.148961,45.451266,9.192408,5.910550,2020,03,08,00,08,02,0,0,32,92,18,25,21,0,0
45.458923,9.174177,45.473525,9.197902,2.461478,2020,03,08,00,08,02,0,0,20,38,8,10,33,0,0
45.471221,9.196350,45.453962,9.159409,3.461506,2020,03,08,00,08,02,0,0,21,53,12,17,29,0,0
45.460517,9.188547,45.452684,9.214738,2.220659,2020,03,08,00,18,05,0,0,12,35,8,23,20,0,0
45.453472,9.189510,45.468051,9.167585,2.356155,2020,03,08,00,18,05,0,0,15,39,8,9,28,0,0
45.466315,9.177984,45.461033,9.203314,2.060796,2020,03,08,00,18,05,0,0,15,31,10,12,33,0,0
45.506147,9.230378,45.479949,9.218483,3.056931,2020,03,08,00,18,05,0,0,19,50,12,13,14,0,0
45.467854,9.190151,45.447848,9.168681,2.784266,2020,03,08,00,18,05,0,0,20,44,16,27,31,0,0
45.467644,9.163739,45.490095,9.155972,2.568711,2020,03,08,00,18,05,0,0,15,43,9,10,14,0,0
45.463896,9.182365,45.491664,9.193116,3.199266,2020,03,08,00,18,05,0,0,22,0,14,26,36,0,0
45.498184,9.172333,45.442434,9.221302,7.280465,2020,03,08,00,18,05,0,0,42,117,21,22,28,0,0
45.470768,9.182839,45.493586,9.229906,4.461003,2020,03,08,00,18,05,0,0,0,0,17,20,13,0,0
45.498890,9.178922,45.482265,9.150340,2.894907,2020,03,08,00,18,05,0,0,0,0,8,8,10,0,0
45.494676,9.156253,45.466832,9.183303,3.745951,2020,03,08,00,28,01,0,0,0,0,12,12,12,0,0
45.451034,9.184058,45.442323,9.148050,2.971201,2020,03,08,00,28,01,0,0,0,0,11,9,8,0,0
45.451087,9.171835,45.448434,9.209886,2.982727,2020,03,08,00,28,01,0,0,0,0,9,24,12,0,0
45.487441,9.181391,45.443011,9.200035,5.149652,2020,03,08,00,28,01,0,0,30,75,17,25,33,0,0
45.497461,9.205993,45.471209,9.192147,3.112122,2020,03,08,00,28,01,0,0,19,53,11,14,13,0,0
45.460246,9.221971,45.443798,9.205269,2.245409,2020,03,08,00,28,01,0,0,14,0,6,7,7,0,0
45.438320,9.199791,45.437909,9.167888,2.489473,2020,03,08,00,28,01,0,0,11,37,5,9,10,0,0
45.454220,9.216836,45.486599,9.192759,4.060310,2020,03,08,00,28,01,0,0,22,66,14,16,20,0,0
45.461474,9.193473,45.469728,9.166235,2.313850,2020,03,08,00,28,01,0,0,16,38,14,17,27,0,0
45.474723,9.153824,45.500579,9.156524,2.882611,2020,03,08,00,28,01,0,0,22,68,10,16,19,0,0
45.479996,9.159526,45.485144,9.206012,3.668879,2020,03,08,00,38,01,0,0,22,58,14,20,21,0,0
45.450616,9.178969,45.470070,9.184922,2.212344,2020,03,08,00,38,01,0,0,16,35,15,18,32,0,0
45.455086,9.205502,45.465223,9.182916,2.091209,2020,03,08,00,38,01,0,0,17,35,13,11,16,0,0
