Lat,Lon,Elat,Elon,Distance,Year,Month,Day,Hour,Minute,Public,Public2,Car,Bike,Foot,Car2Go,Enjoy,Car2GoFreeCars,EnjoyFreeCars
45.465694,9.196123,45.477571,9.159307,3.159849,2020,05,16,23,52,16,0,0,19,48,14,16,25,936,794
45.463024,9.171663,45.502738,9.206756,5.194568,2020,05,16,23,52,16,0,0,33,85,19,24,36,936,794
45.458897,9.169687,45.462612,9.217415,3.745066,2020,05,16,23,52,16,0,0,20,58,13,17,32,936,794
45.460321,9.164285,45.502006,9.166117,4.637137,2020,05,16,23,52,16,0,0,28,79,14,19,23,936,790
45.465117,9.172608,45.452128,9.218150,3.834267,2020,05,16,23,52,16,0,0,22,60,14,15,33,936,790
45.479009,9.202556,45.438258,9.219756,4.725486,2020,05,16,23,52,16,0,0,24,77,13,17,18,936,790
45.468090,9.202411,45.452335,9.169652,3.097736,2020,05,16,23,52,16,0,0,22,47,11,17,16,936,790
45.479938,9.165171,45.457544,9.217201,4.760298,2020,05,16,23,52,16,0,0,28,76,15,17,21,936,791
45.456493,9.199261,45.471804,9.164448,3.204463,2020,05,16,23,52,16,0,0,20,49,12,13,10,936,791
45.470295,9.170072,45.473178,9.218305,3.774504,2020,05,16,23,52,16,0,0,26,59,0,5,20,936,791
45.479768,9.192600,45.454287,9.196901,2.853004,2020,05,17,00,02,26,0,0,18,47,8,10,22,936,791
45.477104,9.160564,45.451221,9.167463,2.927776,2020,05,17,00,02,26,0,0,17,48,10,15,27,936,792
45.483927,9.224238,45.462656,9.204912,2.804353,2020,05,17,00,02,26,0,0,16,49,9,11,14,936,792
45.497761,9.155775,45.470139,9.159127,3.082375,2020,05,17,00,02,26,0,0,18,52,11,32,14,936,792
45.476642,9.173636,45.461219,9.195863,2.438186,2020,05,17,00,02,26,0,0,22,38,15,19,30,936,792
45.476118,9.201053,45.484477,9.165309,2.937552,2020,05,17,00,02,26,0,0,14,45,9,12,18,936,786
45.454697,9.199431,45.486537,9.178956,3.883613,2020,05,17,00,02,26,0,0,26,61,11,17,19,936,786
45.475123,9.193962,45.505001,9.159554,4.269628,2020,05,17,00,02,26,0,0,25,70,13,17,25,936,786
45.479056,9.175791,45.457265,9.158944,2.756155,2020,05,17,00,02,26,0,0,15,42,10,14,19,936,786
45.466997,9.168207,45.463923,9.229817,4.816589,2020,05,17,00,02,26,0,0,28,71,17,17,47,936,786
