Lat,Lon,Elat,Elon,Distance,Year,Month,Day,Hour,Minute,Public,Public2,Car,Bike,Foot,Car2Go,Enjoy,Car2GoFreeCars,EnjoyFreeCars
45.452606,9.197235,45.494640,9.157376,5.612700,2020,04,05,12,53,14,42,0,32,87,17,21,20,1536,639
45.437925,9.190157,45.454824,9.153424,3.426590,2020,04,05,12,53,14,30,0,19,64,10,18,17,1538,639
45.489509,9.172402,45.464857,9.174527,2.746048,2020,04,05,12,53,14,21,0,17,44,10,13,18,1535,639
45.452217,9.184142,45.473613,9.184939,2.379824,2020,04,05,12,53,14,28,0,18,38,8,11,15,1534,639
45.496224,9.203269,45.473766,9.195324,2.572757,2020,04,05,12,53,14,23,0,16,44,8,17,15,1536,639
45.492868,9.197127,45.464218,9.172121,3.734795,2020,04,05,12,53,14,29,0,26,62,16,18,22,1532,639
45.461319,9.212725,45.468635,9.186563,2.196366,2020,04,05,12,53,14,22,0,13,34,14,16,16,1535,639
45.458929,9.167861,45.457933,9.197723,2.331608,2020,04,05,12,53,14,28,0,12,37,8,4,11,1532,639
45.454665,9.202695,45.485767,9.169197,4.333804,2020,04,05,12,53,14,37,0,25,70,0,1,5,1531,639
45.476705,9.182516,45.466687,9.156215,2.333755,2020,04,05,12,53,14,25,0,16,39,9,11,21,1529,637
45.479372,9.171532,45.502112,9.162608,2.622388,2020,04,05,13,03,16,25,0,19,48,9,13,17,1532,637
45.463777,9.191165,45.485319,9.185664,2.433344,2020,04,05,13,03,16,14,0,21,41,15,15,17,1536,637
45.456632,9.162986,45.495262,9.200065,5.177523,2020,04,05,13,03,16,40,0,33,79,19,23,25,1533,640
45.458046,9.166376,45.459546,9.230464,5.001057,2020,04,05,13,03,16,47,0,25,78,15,17,25,1531,640
45.473070,9.185922,45.455348,9.148935,3.493202,2020,04,05,13,03,16,35,0,21,55,12,15,28,1534,640
45.480215,9.169823,45.489847,9.214174,3.619439,2020,04,05,13,03,16,37,0,23,58,12,13,16,1538,640
45.460710,9.176288,45.437781,9.229693,4.884026,2020,04,05,13,03,16,28,0,27,72,16,18,20,1537,640
45.458674,9.192746,45.501490,9.190949,4.762754,2020,04,05,13,03,16,32,0,30,78,16,18,26,1538,640
45.462245,9.186191,45.489023,9.221463,4.053147,2020,04,05,13,03,16,23,0,23,63,16,21,20,1538,640
45.469997,9.186651,45.503659,9.194630,3.794191,2020,04,05,13,03,16,39,0,26,59,13,20,23,1539,640
45.456777,9.195531,45.491338,9.201014,3.866530,2020,04,05,13,13,18,15,0,24,63,12,18,20,1537,640
45.494645,9.181348,45.442088,9.147109,6.424805,2020,04,05,13,13,18,53,0,34,102,17,17,17,1539,640
45.503151,9.207307,45.498276,9.154414,4.157587,2020,04,05,13,13,18,47,0,25,73,9,23,23,1537,640
45.490220,9.171801,45.437724,9.205663,6.406549,2020,04,05,13,13,18,58,0,39,101,20,21,33,1537,640
45.465438,9.183110,45.449171,9.169420,2.100358,2020,04,05,13,13,18,27,0,16,37,10,14,15,1538,640
45.452636,9.214580,45.482589,9.222228,3.383437,2020,04,05,13,13,18,27,0,16,55,10,14,17,1538,639
45.490959,9.157909,45.457072,9.178708,4.102050,2020,04,05,13,13,18,44,0,24,69,12,13,18,1539,639
45.473547,9.163668,45.499534,9.213946,4.869288,2020,04,05,13,13,18,46,0,27,76,14,20,23,1539,639
45.479383,9.214990,45.504180,9.225683,2.880389,2020,04,05,13,13,18,19,0,14,46,7,8,10,1542,639
45.445525,9.214026,45.493441,9.213885,5.327771,2020,04,05,13,13,18,37,0,27,87,14,18,20,1542,639
